Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry
General Dynamics,Phebe N. Novakovic,18313204,116510,157,Industrials,Aerospace & Defense
General Electric,Larry Culp,24553788,50471,486,Industrials,Industrial Conglomerates
General Mills,Jeffrey L. Harmening,9855417,57177,172,Consumer Staples,Packaged Foods & Meats
General Motors,Mary T. Barra,21630867,106715,203,Consumer Discretionary,Automobile Manufacturers
Genuine Parts,Paul D. Donahue,8169948,39321,208,Consumer Discretionary,Specialty Stores
Gilead Sciences,John F. Milligan,25961831,163963,158,Health Care,Biotechnology
Globe Life Inc.,na,-1,-1,-1,Financials,Life & Health Insurance
Global Payments Inc.,Jeffrey S. Sloan,20502096,56040,366,Information Technology,Data Processing & Outsourced Services
Goldman Sachs Group,David M. Solomon,24657737,138854,178,Financials,Investment Banking & Brokerage
Grainger (W.W.) Inc.,na,-1,-1,-1,Industrials,Industrial Machinery
Halliburton Co.,Jeffrey A. Miller,12770467,87289,146,Energy,Oil & Gas Equipment & Services
Hanesbrands Inc,Gerald W. Evans Jr.,3956325,7076,559,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Hartford Financial Svc.Gp.,na,-1,-1,-1,Financials,Property & Casualty Insurance
Hasbro Inc.,Brian Goldner,8499623,66893,127,Consumer Discretionary,Leisure Products
HCA Healthcare,Samuel N. Hazen,26788251,56012,478,Health Care,Health Care Facilities
Healthpeak Properties,na,-1,-1,-1,Real Estate,Health Care REITs
Henry Schein,Stanley M. Bergman,14438094,71272,203,Health Care,Health Care Distributors
The Hershey Company,na,-1,-1,-1,Consumer Staples,Packaged Foods & Meats
Hess Corporation,John B. Hess,12572440,178908,70,Energy,Integrated Oil & Gas
Hewlett Packard Enterprise,Antonio F. Neri,13714497,67196,204,Information Technology,"Technology Hardware, Storage & Peripherals"
Hilton Worldwide Holdings Inc,Christopher J. Nassetta,21387511,43695,489,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HollyFrontier Corp,George J. Damiris,5169280,129232,40,Energy,Oil & Gas Refining & Marketing
Hologic,Stephen P. MacMillan,12374753,91403,135,Health Care,Health Care Equipment
Home Depot,Craig A. Menear,10889833,22652,481,Consumer Discretionary,Home Improvement Retail
Honeywell Int'l Inc.,na,-1,-1,-1,Industrials,Industrial Conglomerates
Hormel Foods Corp.,James P. Snee,8324267,45086,185,Consumer Staples,Packaged Foods & Meats
Host Hotels & Resorts,James F. Risoleo,9434465,197781,48,Real Estate,Hotel & Resort REITs
Howmet Aerospace,na,-1,-1,-1,Industrials,Aerospace & Defense
HP Inc.,Dion J. Weisler,19215534,79719,241,Information Technology,"Technology Hardware, Storage & Peripherals"
Humana Inc.,Bruce D. Broussard,16726455,73669,227,Health Care,Managed Health Care
Huntington Bancshares,Stephen D. Steinour,7488685,61717,121,Financials,Regional Banks
Huntington Ingalls Industries,na,-1,-1,-1,Industrials,Aerospace & Defense
IDEX Corporation,Andrew K. Silvernail,9119596,66703,137,Industrials,Industrial Machinery
IDEXX Laboratories,na,-1,-1,-1,Health Care,Health Care Equipment
IHS Markit Ltd.,Lance Uggla,13070056,90999,144,Industrials,Research & Consulting Services
Illinois Tool Works,E. Scott Santi,17723369,49632,357,Industrials,Industrial Machinery
Illumina Inc,Francis A. deSouza,1521949,104555,15,Health Care,Life Sciences Tools & Services
Incyte,Hervé Hoppenot,9314189,228006,41,Health Care,Biotechnology
Ingersoll Rand,M. W. Lamach,24217128,54757,442,Industrials,Industrial Machinery
Intel Corp.,Robert H. Swan,66935100,96300,695,Information Technology,Semiconductors
Intercontinental Exchange,Jeffrey C. Sprecher,14513403,138412,105,Financials,Financial Exchanges & Data
International Business Machines,na,-1,-1,-1,Information Technology,IT Consulting & Other Services
International Paper,na,-1,-1,-1,Materials,Paper Packaging
Interpublic Group,na,-1,-1,-1,Communication Services,Advertising
International Flavors & Fragrances,na,-1,-1,-1,Materials,Specialty Chemicals
Intuit Inc.,Sasan K. Goodarzi,17933345,157232,114,Information Technology,Application Software
Intuitive Surgical Inc.,Gary S. Guthart Ph.D.,6470374,157267,41,Health Care,Health Care Equipment
Invesco Ltd.,Martin L. Flanagan,11518949,125282,92,Financials,Asset Management & Custody Banks
IPG Photonics Corp.,Valentin P. Gapontsev,1251984,31205,40,Information Technology,Electronic Manufacturing Services
IQVIA Holdings Inc.,na,-1,-1,-1,Health Care,Life Sciences Tools & Services
Iron Mountain Incorporated,na,-1,-1,-1,Real Estate,Specialized REITs
