Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry,From Salary.com?
EOG Resources,William R. Thomas,12751421,175681,73,Energy,Oil & Gas Exploration & Production,yes
Equifax Inc.,Mark W. Begor,14281552,72230,198,Industrials,Research & Consulting Services,yes
Equinix,Charles Meyers,12573795,97035,130,Real Estate,Specialized REITs,yes
Equity Residential,David J. Neithercut,11004730,57841,190,Real Estate,Residential REITs,yes
"Essex Property Trust, Inc.",Michael J. Schall,6419864,74338,86,Real Estate,Residential REITs,yes
Est̩e Lauder Companies,Fabrizio Freda,18423928,28879,638,Consumer Staples,Personal Products,yes
Etsy,Josh Silverman,1044083,173680,6,Consumer Discretionary,Internet & Direct Marketing Retail,yes
Evergy,Terry Bassham,5793975,153717,38,Utilities,Electric Utilities,yes
Eversource Energy,James J. Judge,19806088,133899,148,Utilities,Multi-Utilities,yes
Everest Re Group Ltd.,Dominic J. Addesso,7626619,144915,53,Financials,Reinsurance,yes
Exelon Corp.,Christopher M. Crane,15400000,126000,122,Utilities,Multi-Utilities,yes
Expedia Group,Peter M. Kern,1924500,127648,15,Consumer Discretionary,Internet & Direct Marketing Retail,partial
Expeditors,Jeffrey S. Musser,6424455,45108,142,Industrials,Air Freight & Logistics,yes
Extra Space Storage,Joseph D. Margolis,6284975,38658,163,Real Estate,Specialized REITs,yes
Exxon Mobil Corp.,D. W. Woods,23529292,173712,135,Energy,Integrated Oil & Gas,yes
F5 Networks,Fran̤ois Locoh-Donou,9473457,176749,54,Information Technology,Communications Equipment,yes
"Facebook, Inc.",Mark Zuckerberg,23415973,247883,94,Communication Services,Interactive Media & Services,yes
Fastenal Co,Daniel L. Florness,1759943,45842,38,Industrials,Building Products,yes
Federal Realty Investment Trust,Donald C. Wood,7630858,111105,69,Real Estate,Retail REITs,yes
FedEx Corporation,Frederick W. Smith,15973884,52718,303,Industrials,Air Freight & Logistics,yes
Fidelity National Information Services,Gary A. Norcross,18442389,46929,393,Information Technology,Data Processing & Outsourced Services,yes
Fifth Third Bancorp,Greg D. Carmichael,8999237,68103,132,Financials,Regional Banks,yes
FirstEnergy Corp,Charles E. Jones Jr.,14684659,149550,98,Utilities,Electric Utilities,yes
First Republic Bank,James H. Herbert II,12884327,"145,400",89,Financials,Regional Banks,no
Fiserv Inc,Jeffery W. Yabuki,27633556,65254,423,Information Technology,Data Processing & Outsourced Services,yes
FleetCor Technologies Inc,Ronald F. Clarke,7757388,33330,233,Information Technology,Data Processing & Outsourced Services,yes
FLIR Systems,James J. Cannon,5492416,76714,72,Information Technology,Electronic Equipment & Instruments,yes
Flowserve Corporation,R. Scott Rowe,8702469,81830,106,Industrials,Industrial Machinery,yes
FMC Corporation,Pierre Brondeau,11536552,51332,225,Materials,Fertilizers & Agricultural Chemicals,yes
Ford Motor Company,James P. Hackett,17752835,64316,276,Consumer Discretionary,Automobile Manufacturers,yes
Fortinet,Ken Xie,6761686,131767,51,Information Technology,Systems Software,yes
Fortive Corp,James A. Lico,13720993,56718,242,Industrials,Industrial Machinery,yes
Fortune Brands Home & Security,Christopher J. Klein,10693887,57125,187,Industrials,Building Products,yes
Fox Corporation,Lachlan K. Murdoch,29154460,81307,359,Communication Services,Movies & Entertainment,yes
Franklin Resources,Gregory E. Johnson,10431335,63941,163,Financials,Asset Management & Custody Banks,yes
Freeport-McMoRan Inc.,Richard C. Adkerson,15742249,75874,207,Materials,Copper,yes
Gap Inc.,Sonia Syngal,4765962,56000,85,Consumer Discretionary,Apparel Retail,partial
Garmin Ltd.,Clifton A. Pemble,3233412,35188,92,Consumer Discretionary,Consumer Electronics,yes
Gartner Inc,Eugene A. Hall,11502517,107147,107,Information Technology,IT Consulting & Other Services,yes
General Dynamics,Phebe N. Novakovic,18313204,116510,157,Industrials,Aerospace & Defense,yes
General Electric,Larry Culp,24553788,50471,486,Industrials,Industrial Conglomerates,yes
General Mills,Jeffrey L. Harmening,9855417,57177,172,Consumer Staples,Packaged Foods & Meats,yes
General Motors,Mary T. Barra,21630867,106715,203,Consumer Discretionary,Automobile Manufacturers,yes
Genuine Parts,Paul D. Donahue,8169948,39321,208,Consumer Discretionary,Specialty Stores,yes
Gilead Sciences,John F. Milligan,25961831,163963,158,Health Care,Biotechnology,yes
Globe Life Inc.,Gary L. Coleman,8342279,98507,85,Financials,Life & Health Insurance,no
Global Payments Inc.,Jeffrey S. Sloan,20502096,56040,366,Information Technology,Data Processing & Outsourced Services,yes
Goldman Sachs Group,David M. Solomon,24657737,138854,178,Financials,Investment Banking & Brokerage,yes
Grainger (W.W.) Inc.,D. G. Macpherson,7665127,66072,116,Industrials,Industrial Machinery,yes
Halliburton Co.,Jeffrey A. Miller,12770467,87289,146,Energy,Oil & Gas Equipment & Services,yes
Hanesbrands Inc,Gerald W. Evans Jr.,3956325,7076,559,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",yes
Hartford Financial Svc.Gp.,Christopher Swift,14560748,96867,150,Financials,Property & Casualty Insurance,yes
Hasbro Inc.,Brian Goldner,8499623,66893,127,Consumer Discretionary,Leisure Products,yes
HCA Healthcare,Samuel N. Hazen,26788251,56012,478,Health Care,Health Care Facilities,yes
Healthpeak Properties,Thomas M. Herzog,9907966,145000,68,Real Estate,Health Care REITs,yes
Henry Schein,Stanley M. Bergman,14438094,71272,203,Health Care,Health Care Distributors,yes
The Hershey Company,Michele G. Buck,16787188,38099,441,Consumer Staples,Packaged Foods & Meats,yes
Hess Corporation,John B. Hess,12572440,178908,70,Energy,Integrated Oil & Gas,yes
Hewlett Packard Enterprise,Antonio F. Neri,13714497,67196,204,Information Technology,"Technology Hardware, Storage & Peripherals",yes
Hilton Worldwide Holdings Inc,Christopher J. Nassetta,21387511,43695,489,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",yes
HollyFrontier Corp,George J. Damiris,5169280,129232,40,Energy,Oil & Gas Refining & Marketing,yes
Hologic,Stephen P. MacMillan,12374753,91403,135,Health Care,Health Care Equipment,yes
Home Depot,Craig A. Menear,10889833,22652,481,Consumer Discretionary,Home Improvement Retail,yes
Honeywell Int'l Inc.,Darius Adamczyk,20525104,69513,295,Industrials,Industrial Conglomerates,yes
Hormel Foods Corp.,James P. Snee,8324267,45086,185,Consumer Staples,Packaged Foods & Meats,yes
Host Hotels & Resorts,James F. Risoleo,9434465,197781,48,Real Estate,Hotel & Resort REITs,yes
Howmet Aerospace,John C. Plant,51837578,55497,934,Industrials,Aerospace & Defense,yes
HP Inc.,Dion J. Weisler,19215534,79719,241,Information Technology,"Technology Hardware, Storage & Peripherals",yes
Humana Inc.,Bruce D. Broussard,16726455,73669,227,Health Care,Managed Health Care,yes
Huntington Bancshares,Stephen D. Steinour,7488685,61717,121,Financials,Regional Banks,yes
Huntington Ingalls Industries,C. Michael Petters,8641992,73108,118,Industrials,Aerospace & Defense,yes
IDEX Corporation,Andrew K. Silvernail,9119596,66703,137,Industrials,Industrial Machinery,yes
IDEXX Laboratories,Jonathan J. Mazelsky,7637774,55106,139,Health Care,Health Care Equipment,yes
IHS Markit Ltd.,Lance Uggla,13070056,90999,144,Industrials,Research & Consulting Services,yes
Illinois Tool Works,E. Scott Santi,17723369,49632,357,Industrials,Industrial Machinery,yes
Illumina Inc,Francis A. deSouza,1521949,104555,15,Health Care,Life Sciences Tools & Services,yes
Incyte,Herv̩ Hoppenot,9314189,228006,41,Health Care,Biotechnology,yes
Ingersoll Rand,M. W. Lamach,24217128,54757,442,Industrials,Industrial Machinery,yes
Intel Corp.,Robert H. Swan,66935100,96300,695,Information Technology,Semiconductors,yes
Intercontinental Exchange,Jeffrey C. Sprecher,14513403,138412,105,Financials,Financial Exchanges & Data,yes
International Business Machines,V. M. Rometty,20160865,56896,354,Information Technology,IT Consulting & Other Services,yes
International Paper,Mark S. Sutton,21911137,61508,356,Materials,Paper Packaging,yes
Interpublic Group,Michael I. Roth,16590172,71835,231,Communication Services,Advertising,yes
International Flavors & Fragrances,Andreas Fibig,7629084,38981,196,Materials,Specialty Chemicals,yes
Intuit Inc.,Sasan K. Goodarzi,17933345,157232,114,Information Technology,Application Software,yes
Intuitive Surgical Inc.,Gary S. Guthart Ph.D.,6470374,157267,41,Health Care,Health Care Equipment,yes
Invesco Ltd.,Martin L. Flanagan,11518949,125282,92,Financials,Asset Management & Custody Banks,yes
IPG Photonics Corp.,Valentin P. Gapontsev,1251984,31205,40,Information Technology,Electronic Manufacturing Services,yes
IQVIA Holdings Inc.,Ari Bousbib,21555899,118891,181,Health Care,Life Sciences Tools & Services,partial
Iron Mountain Incorporated,William L. Meaney,10888949,39267,277,Real Estate,Specialized REITs,yes
Jack Henry & Associates,David B. Foss,11015251,74508,148,Information Technology,Data Processing & Outsourced Services,yes
Jacobs Engineering Group,Steven J. Demetriou,14627254,79733,183,Industrials,Construction & Engineering,yes
J. B. Hunt Transport Services,John N. Roberts III,6588249,65663,100,Industrials,Trucking,yes
JM Smucker,Mark T. Smucker,10728961,79071,136,Consumer Staples,Packaged Foods & Meats,yes
Johnson & Johnson,Alex Gorsky,25380258,76000,334,Health Care,Pharmaceuticals,yes
Johnson Controls International,George R. Oliver,15476638,41987,369,Industrials,Building Products,yes
JPMorgan Chase & Co.,James Dimon,30040153,78923,381,Financials,Diversified Banks,yes
Juniper Networks,Rami Rahim,11129890,129616,86,Information Technology,Communications Equipment,yes
Kansas City Southern,Patrick J. Ottensmeyer,5523327,48187,115,Industrials,Railroads,yes
Kellogg Co.,Steve Cahillane,9694223,38895,249,Consumer Staples,Packaged Foods & Meats,yes
KeyCorp,Beth E. Mooney,9663988,63748,152,Financials,Regional Banks,yes
Keysight Technologies,Ronald S. Nersesian,11124216,84714,131,Information Technology,Electronic Equipment & Instruments,yes
Kimberly-Clark,Michael D. Hsu,12028120,47328,254,Consumer Staples,Household Products,yes
Kimco Realty,Conor C. Flynn,6948567,102500,68,Real Estate,Retail REITs,yes
